99,"Services by an entity registered under section 12AA of the Income-tax Act, 1961 (43 of 1961) by way of charitable activities.",0
99,"Services by way of transfer of a going concern, as a whole or an independent part thereof.",0
99,"Pure services (excluding works contract service or other composite supplies involving supply of any goods) provided to the Central Government, State Government or Union territory or local authority or a Governmental authority(or a Government entity inserted on 25/01/2018) by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution or in relation to any function entrusted to a Municipality under article 243W of the Constitution.",0
99,"Services by (Central Government, State Government, Union territory, local authority or omitted on 27.07.2018) governmental authority by way of any activity in relation to any function entrusted to a municipality under article 243 W of the Constitution.",0
99,"Services by a (Central Government, State Government, Union territory, local authority or ommitted on 27.07.18) Governmental Authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution.",0
99,"Services by the Central Government, State Government, Union territory or local authority excluding the following services
(a) services by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory
(b) services in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport
(c) transport of goods or passengers; o
(d) any service, other than services covered under entrie
(a) t
(c) above, provided to business entities.",0
99,"Services provided by the Central Government, State Government, Union territory or local authority to a business entity with an aggregate turnover of up to 20 lakh rupees (10 lakh rupees in case of a special category state) in the preceding financial year.
Explanation.For the purposes of this entry, it is hereby clarified that the provisions of this entry shall not be applicable to-
(a) services-
(i) by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory;
(ii) in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport;
(iii) of transport of goods or passengers; and
(b) services by way of renting of immovable property.",0
99,"Services provided by the Central Government, State Government, Union territory or local authority to another Central Government, State Government, Union territory or local authority:
Provided that nothing contained in this entry shall apply to services-
(i) by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory;
(ii) in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport;
(iii) of transport of goods or passengers.",0
99,"Services provided by Central Government, State Government, Union territory or a local authority where the consideration for such services does not exceed 5000 Rs.
Provided that nothing contained in this entry shall apply to -
(i) services by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory;
(ii) services in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport;
(iii) transport of goods or passengers:
Provided further that in case where continuous supply of service, as defined in sub-section (33) of section 2 of the Central Goods and Services Tax Act, 2017, is provided by the Central Government, State Government, Union territory or a local authority, the exemption shall apply only where the consideration charged for such service does not exceed 5000 Rs in a financial year.",0
99,"Services received from a provider of service located in a non taxable territory by ñ
(a) the Central Government, State Government, Union territory, a local authority, a governmental authority or an individual in relation to any purpose other than commerce, industry or any other business or profession;
(b) an entity registered under section 12AA of the Income-tax Act, 1961 (43 of 1961) for the purposes of providing charitable activities; or
(c) a person located in a non-taxable territory:
Provided that the exemption shall not apply to ñ
(i) online information and database access or retrieval services received by persons specified in entry
(a) or entr(b); or
(ii) services by way of transportation of goods by a vessel from a place outside India up to the customs station of clearance in India received by persons specified in the entry.",0
99,"Services received by the Reserve Bank of India, from outside India in relation to management of foreign exchange reserves.",0
99,Services provided to the United Nations or a specified international organization is exempt by way of refund.,0
